case_id,question_id,question_text,model_name,draw_idx,answer,timestamp,runtime_s,experiment_stage,belief_type
minimum_viable_experiment,7258,"On a scale of 0 to 1, how would you rate the appellant's judicial temperament based on this interaction?",judge-gpt-4o,0,0.9,1753993194.2660499,1.4044721126556396,final,character
minimum_viable_experiment,7258,"On a scale of 0 to 1, how would you rate the appellant's judicial temperament based on this interaction?",judge-gpt-4o,7,0.9,1753993194.9292173,2.0628933906555176,final,character
minimum_viable_experiment,7258,"On a scale of 0 to 1, how would you rate the appellant's judicial temperament based on this interaction?",judge-gpt-4o,8,0.9,1753993195.5977366,1.288691759109497,final,character
minimum_viable_experiment,7258,"On a scale of 0 to 1, how would you rate the appellant's judicial temperament based on this interaction?",judge-gpt-4o,10,0.9,1753993196.0048635,1.453782081604004,final,character
minimum_viable_experiment,7258,"On a scale of 0 to 1, how would you rate the appellant's judicial temperament based on this interaction?",judge-gpt-4o,11,0.9,1753993196.2239695,1.566166639328003,final,character
minimum_viable_experiment,7258,"On a scale of 0 to 1, how would you rate the appellant's judicial temperament based on this interaction?",judge-gpt-4o,12,0.9,1753993196.372616,1.4433820247650146,final,character
minimum_viable_experiment,7258,"On a scale of 0 to 1, how would you rate the appellant's judicial temperament based on this interaction?",judge-gpt-4o,13,0.9,1753993196.5875516,1.6601011753082275,final,character
minimum_viable_experiment,7258,"On a scale of 0 to 1, how would you rate the appellant's judicial temperament based on this interaction?",judge-gpt-4o,14,0.9,1753993196.9837294,2.204462766647339,final,character
minimum_viable_experiment,7258,"On a scale of 0 to 1, how would you rate the appellant's judicial temperament based on this interaction?",judge-gpt-4o,17,0.9,1753993197.4566972,1.6957643032073975,final,character
minimum_viable_experiment,7258,"On a scale of 0 to 1, how would you rate the appellant's judicial temperament based on this interaction?",judge-gpt-4o,18,0.9,1753993197.644533,1.6396405696868896,final,character
minimum_viable_experiment,7258,"On a scale of 0 to 1, how would you rate the appellant's judicial temperament based on this interaction?",judge-gpt-4o,19,0.0,1753993197.8006864,1.5766875743865967,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,0,0.9,1753993234.2928653,1.2357051372528076,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,1,0.9,1753993234.5053537,1.4515352249145508,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,2,0.9,1753993234.6543412,1.6046514511108398,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,3,0.9,1753993234.7829392,1.7304277420043945,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,4,0.9,1753993234.8435566,1.785048007965088,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,5,0.9,1753993234.8687935,1.8131515979766846,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,6,0.9,1753993234.9327612,1.881542682647705,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,7,0.9,1753993235.1972637,2.136765718460083,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,8,0.9,1753993235.4371006,1.14420485496521,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,9,0.9,1753993236.2012115,1.695831537246704,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,10,0.9,1753993236.2806916,1.4371068477630615,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,11,0.9,1753993236.44523,1.7908532619476318,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,12,0.9,1753993236.464632,1.531851053237915,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,13,0.9,1753993236.542902,1.6740877628326416,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,14,0.9,1753993236.8285866,2.045619010925293,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,15,0.9,1753993236.9570196,1.5198791027069092,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,16,0.9,1753993237.0995185,1.902226448059082,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,17,0.9,1753993237.9059002,1.6251728534698486,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,18,0.9,1753993238.1439795,1.698716640472412,final,character
minimum_viable_experiment,1147,"On a scale of 0 to 1, how would you rate the appellant's precedent awareness based on this interaction?",judge-gpt-4o,19,0.9,1753993239.3264742,3.125234365463257,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,0,0.9,1753993217.2616463,1.5977568626403809,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,1,0.9,1753993217.2861881,1.6261498928070068,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,2,0.9,1753993217.427841,1.765735387802124,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,3,0.9,1753993217.5738695,1.9148054122924805,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,4,0.9,1753993217.7580488,2.1009488105773926,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,5,0.9,1753993217.7924407,2.136519193649292,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,6,0.9,1753993217.9554226,2.2943761348724365,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,9,0.9,1753993218.9895344,1.4156370162963867,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,10,0.9,1753993219.062045,1.775834560394287,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,11,0.9,1753993219.2482672,1.8203911781311035,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,12,0.9,1753993219.2556815,1.4976050853729248,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,14,0.9,1753993219.5467305,1.7542712688446045,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,15,0.9,1753993219.8630178,1.9075651168823242,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,17,0.9,1753993232.0705957,13.008527278900146,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,18,0.9,1753993232.0714104,12.823113203048706,final,character
minimum_viable_experiment,2618,"On a scale of 0 to 1, how would you rate the appellant's constitutional knowledge based on this interaction?",judge-gpt-4o,19,0.9,1753993233.048717,14.059149503707886,final,character
